"source","lib1","sink","lib2"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new UnpauseContainerCmdExec(...)","com.github.dockerjava.jaxrs.UnpauseContainerCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new EventsCmdExec(...)","com.github.dockerjava.jaxrs.EventsCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new StatsCmdExec(...)","com.github.dockerjava.jaxrs.StatsCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CreateVolumeCmdExec(...)","com.github.dockerjava.jaxrs.CreateVolumeCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InspectVolumeCmdExec(...)","com.github.dockerjava.jaxrs.InspectVolumeCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RemoveVolumeCmdExec(...)","com.github.dockerjava.jaxrs.RemoveVolumeCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ListVolumesCmdExec(...)","com.github.dockerjava.jaxrs.ListVolumesCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ListNetworksCmdExec(...)","com.github.dockerjava.jaxrs.ListNetworksCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new InspectNetworkCmdExec(...)","com.github.dockerjava.jaxrs.InspectNetworkCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new CreateNetworkCmdExec(...)","com.github.dockerjava.jaxrs.CreateNetworkCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new RemoveNetworkCmdExec(...)","com.github.dockerjava.jaxrs.RemoveNetworkCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"new ConnectToNetworkCmdExec(...)","com.github.dockerjava.jaxrs.ConnectToNetworkCmdExec","checkNotNull(...)","com.google.common.base.Preconditions"
"getBaseResource(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
"getDockerClientConfig(...)","com.github.dockerjava.jaxrs.JerseyDockerCmdExecFactory","checkNotNull(...)","com.google.common.base.Preconditions"
